更新时间,#genre#
CCTV-17,http://58.51.111.46:1111/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-17,http://58.48.5.186:1111/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-17,http://183.223.157.33:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-17,http://59.173.183.242:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-17,http://220.164.192.48:50085/tsfile/live/0018_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-17,http://120.55.49.231:1640/rtp/233.50.200.113:5140
CCTV-17,http://120.55.49.231:6653/rtp/233.50.200.113:5140
CCTV-17,http://120.55.49.231:1640/rtp/233.50.201.35:5140
CCTV-17,http://120.55.49.231:6653/rtp/233.50.201.35:5140
CETV1,http://120.55.49.231:1640/rtp/233.50.201.75:5140
CETV1,http://120.55.49.231:6653/rtp/233.50.201.75:5140
CETV1,http://120.55.49.231:5023/rtp/233.50.201.75:5140
CETV1,http://120.55.49.231:1025/rtp/233.50.201.75:5140
CETV1,http://123.56.129.203:5756/rtp/225.1.8.169:4120
CETV1,http://120.55.49.231:3061/rtp/233.50.201.75:5140
CETV1,http://120.55.49.231:3095/rtp/233.50.201.75:5140
CETV1,http://122.9.151.210:887/rtp/238.255.2.105:5999
CETV1,http://123.113.106.229:4022/rtp/239.3.1.57:8152$1920x1080
CETV1,http://182.46.8.252:8888/rtp/239.21.2.7:5002
CETV2,http://123.56.129.203:5756/rtp/225.1.8.193:4120
CETV2,http://122.9.151.210:887/rtp/238.255.2.221:5999
CETV2,http://123.113.106.229:4022/rtp/239.3.1.54:4120$1920x1080
CETV2,http://182.46.8.252:8888/rtp/239.21.2.8:5002
CETV4,http://120.55.49.231:1640/rtp/233.50.200.162:5140
CETV4,http://120.55.49.231:6653/rtp/233.50.200.162:5140
CETV4,http://120.55.49.231:5023/rtp/233.50.200.162:5140
CETV4,http://120.55.49.231:1025/rtp/233.50.200.162:5140
CETV4,http://123.56.129.203:5756/rtp/225.1.8.195:4120
CETV4,http://120.55.49.231:3061/rtp/233.50.200.162:5140
CETV4,http://120.55.49.231:3095/rtp/233.50.200.162:5140
CETV4,http://122.9.151.210:887/rtp/238.255.2.222:5999
CETV4,http://123.113.106.229:4022/rtp/239.3.1.56:4120$1920x1080
CETV4,http://182.46.8.252:8888/rtp/239.21.1.222:5002
💰央视付费频道,#genre#
风云音乐,http://112.234.23.81:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
第一剧场,http://58.19.38.162:9901/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
第一剧场,http://112.234.23.81:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
风云剧场,http://112.234.23.81:9901/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
怀旧剧场,http://112.234.23.81:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
高尔夫网球,http://112.234.23.81:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
风云足球,http://112.234.23.81:9901/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
风云足球,http://59.62.8.250:9901/tsfile/live/0108_1.m3u8?key=txiptv&playlive=1&authid=0
风云足球,http://58.19.38.162:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
风云足球,http://tptvh.mobaibox.com/hwcdnbacksourceflag_223.110.243.229:80/PLTV/4/224/3221228668/1.m3u8?accountinfo=7Nbs4SAtmisdhfg9u9VfuRylKFo%2FsFe211XeT0tFiPe3sKM6ExysDo0g3A9CbIkx5b%2FFw3kQIXPRRrkOn3II%2B%2Fc0Ta4f4DIFOsGdGiU4JeF8fi9dPYnTHN8Os8jC4LZfFgCcgHZcoIABWGUx4GF9bqeo84KrB1TAVruJzkRIWcU%3D%3A20241026024257%2C-1%2C36.156.32.22%2C20241026024257%2CG_FENGSHANGZQ-CQ%2C1734208109853_10%3A13%3A6D%3AA1%3A26%3A38%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000019436166_0%2CEND&GuardEncType=2&servicetype=1&unionUrl=gitv%2Flive1%2FG_FENGSHANGZQ-CQ%2FG_FENGSHANGZQ-CQ&icpid=88888888&from=5&popid=5&hms_devid=6449&prioritypopid=5
风云足球,http://58.57.21.166:9901/tsfile/live/0108_1.m3u8?key=txiptv&playlive=1&authid=0
世界地理,http://112.234.23.81:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
世界地理,http://222.185.115.100:9004/rtp/239.49.8.87:8000$1920x1080
世界地理,http://tptvh.mobaibox.com/hwcdnbacksourceflag_223.110.243.200:80/PLTV/4/224/3221228680/1.m3u8?accountinfo=iqf%2B%2FzVl%2BDwUCM587YmhVxYnN9tz7M5yQyLT6YcSOlC3sKM6ExysDo0g3A9CbIkxKC%2FWpogN2oDXZwE5U7VLVlZh%2Fit2Go0ns93wVa3gyyM9IWVIwKzNTTXWP6IWBZgKFgCcgHZcoIABWGUx4GF9bqeo84KrB1TAVruJzkRIWcU%3D%3A20241026024046%2C-1%2C36.156.32.22%2C20241026024046%2CG_SHIJIEDL-CQ%2C1734227797283_6F%3A4B%3AE6%3A16%3A74%3AD4%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000019436223_0%2CEND&GuardEncType=2&servicetype=1&unionUrl=gitv%2Flive1%2FG_SHIJIEDL-CQ%2FG_SHIJIEDL-CQ&icpid=88888888&from=5&popid=5&hms_devid=123&prioritypopid=5
兵器科技,http://112.234.23.81:9901/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
